run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,bestepoch,totalepochs,loss,stopreason
18,poker,10,10,966.3447479,0.13822694827400892,0.12208149275569591,0.6480207916833267,0.621526,235,235,0.05345325010949133,noprogress
19,poker,10,10,1325.049237,0.14555627018653738,0.12957563488705073,0.682047181127549,0.662347,316,320,0.05078797812349687,noprogress
20,poker,10,10,1084.0467002,0.1461852377998598,0.13261104327771747,0.6636945221911236,0.647182,265,265,0.05092015117658242,noprogress
21,poker,10,10,1161.1509001,0.1290993931992112,0.12046326936866585,0.6495801679328269,0.625134,262,285,0.05313700453292256,consecincrease
22,poker,10,10,1357.030887,0.14087335140611507,0.12843208644397575,0.6631347461015594,0.64853,326,335,0.05146195495474201,noprogress
23,poker,10,10,728.2123281,0.1400681518731338,0.12844265125091334,0.6425829668132746,0.622484,159,180,0.0532693883082898,consecincrease
24,poker,10,10,2793.2607484,0.1630825968563095,0.14735433568665196,0.712874850059976,0.704954,690,690,0.046993619903365834,noprogress
25,poker,10,10,203.5118685,0.1045956529433358,0.10272665941510531,0.5894042383046781,0.577973,31,50,0.05512891476688189,consecincrease
26,poker,10,10,324.4476537,0.1431597454989274,0.11817698332755584,0.5989204318272691,0.584111,62,80,0.055083408535650184,consecincrease
27,poker,10,10,224.1601336,0.1052047387030429,0.10333015820702458,0.5895241903238705,0.578785,36,55,0.0551024175151458,consecincrease
28,poker,10,10,122.4074211,0.10455980004438144,0.10322654528741479,0.5875649740103959,0.57956,23,30,0.05510047070972103,noprogress
29,poker,10,10,203.3910771,0.10546165171672459,0.10356290947224145,0.588484606157537,0.57885,29,50,0.05509386301516161,consecincrease
30,poker,10,10,203.4642076,0.10475044374785578,0.10278214092613906,0.5870451819272291,0.577282,31,50,0.05516731783101626,consecincrease
1,satimage,36,6,87.3335667,0.7653278712392302,0.7747849704585118,0.9781285231116121,0.9855,58,95,0.0445871375402952,consecincrease
2,satimage,36,6,1245.2474603,0.8637699194146,0.8036873447707888,0.9966178128523112,0.9915,778,1310,0.03372779237624539,consecincrease
3,satimage,36,6,572.1649529,0.811377431893999,0.7950923046648168,0.9923337091319053,0.9885,467,570,0.03540663783009501,consecincrease
4,satimage,36,6,135.4904795,0.738893416103127,0.7472649882837669,0.9684329199549042,0.971,61,135,0.044392011923238744,consecincrease
5,satimage,36,6,637.9688991,0.8373840872935602,0.824914728360524,0.9907553551296505,0.99,525,635,0.035434103104388485,consecincrease
6,satimage,36,6,190.2516299,0.7252803262672348,0.7239482686432067,0.9578354002254792,0.965,153,190,0.04360340231963144,consecincrease
7,satimage,36,6,50.0793124,0.7729297168687359,0.7935527218273007,0.9828635851183766,0.9875,32,50,0.04298732858817658,consecincrease
8,satimage,36,6,450.6862441,0.7599484485471563,0.7430668328507098,0.9521984216459978,0.944,67,450,0.041568333267254495,consecincrease
9,satimage,36,6,60.7129533,0.7504636313617054,0.7583017062785041,0.9801578354002255,0.9845,38,60,0.04138148040068766,consecincrease
10,satimage,36,6,55.8468618,0.7193970644456753,0.7236915643524432,0.9821871476888387,0.985,37,55,0.04319848544916976,consecincrease
11,satimage,36,6,770.0270959,0.861686930054538,0.8264223355659137,0.9869222096956032,0.98,703,765,0.03412285803210755,consecincrease
12,satimage,36,6,55.4389278,0.7750894143599251,0.7959119087591153,0.9803833145434048,0.9875,35,55,0.044565878430737386,consecincrease
13,satimage,36,6,914.6644972,0.8846423775409078,0.8461966250435174,0.9948139797068771,0.9895,755,915,0.03015869643644865,consecincrease
