lambda,run,dataset,nin,nout,ftrain,ftest,atrain,atest
0.1,23,adult,132,2,0.7540325999298975,0.752976559518982,0.8408525536684991,0.8423315521159634
0.1,24,adult,132,2,0.755498746125897,0.7541805259668467,0.8407604189060532,0.8420858669614889
0.1,25,adult,132,2,0.7570493206201994,0.7580266003870527,0.8415589201805841,0.8441127694859039
0.1,26,adult,132,2,0.7546655005818752,0.7539388635333217,0.8414053622431743,0.8429457650021498
0.1,27,adult,132,2,0.7574732564654986,0.7575900936382115,0.8417739012929578,0.8438670843314293
0.1,28,adult,132,2,0.7537289705880812,0.7536216518157985,0.8404225914437518,0.8427615011362939
0.1,29,adult,132,2,0.7531957840476877,0.7547876079822792,0.8405454377936795,0.8435599778883361
0.1,30,adult,132,2,0.7523011071147193,0.7539632710164519,0.8399312060440404,0.8427615011362939
0.1,1,covtype,79,7,0.6461968450614298,0.48314824693364805,0.8790123456790123,0.7400846989504696
0.1,2,covtype,79,7,0.6447677952280623,0.4712073407618666,0.882363315696649,0.7407528211063472
0.1,3,covtype,79,7,0.6396244597808634,0.46970010726375727,0.8826278659611992,0.7437672620143619
0.1,4,covtype,79,7,0.6443142073512371,0.47917652393980426,0.8811287477954145,0.7407002130625773
0.1,5,covtype,79,7,0.6509034123965958,0.4799190119728964,0.8815696649029983,0.7396796170134413
0.1,6,covtype,79,7,0.6504022755694915,0.5061736705675729,0.8826278659611992,0.7394270984033459
0.1,7,covtype,79,7,0.6489228774742497,0.4674450454841243,0.8840388007054674,0.7402740879080412
0.1,8,covtype,79,7,0.6424359740669189,0.4628678650093675,0.8830687830687831,0.7335613015230029
0.1,9,covtype,79,7,0.6493248042663762,0.5035864473558422,0.8815696649029983,0.7370229108030618
0.1,10,covtype,79,7,0.6512417913395511,0.48652011265399253,0.8814814814814815,0.7372701686087803
0.1,11,covtype,79,7,0.6572614431963126,0.4879279846987213,0.8847442680776014,0.7417365915248442
0.1,12,covtype,79,7,0.6381848703065913,0.4715183475012408,0.8807760141093475,0.7382749822447853
0.1,13,covtype,79,7,0.6454679094352189,0.4841629461959175,0.8807760141093475,0.7391219717494805
0.1,14,covtype,79,7,0.6431510230273927,0.47875959593845596,0.8849206349206349,0.7337086040455586
0.1,15,covtype,79,7,0.6550129368923969,0.5029502985665811,0.8818342151675485,0.7377225977852013
0.1,16,covtype,79,7,0.6473461315115999,0.4630349725170549,0.8814814814814815,0.7375489912407607
0.1,17,covtype,79,7,0.6414078013139861,0.4981780475038859,0.8832451499118166,0.7363653102559381
0.1,18,covtype,79,7,0.6420288806278179,0.48584537318843524,0.8833333333333333,0.7357655785569613
0.1,19,covtype,79,7,0.6428751341417224,0.47842699294927976,0.8827160493827161,0.736386353473446
0.1,20,covtype,79,7,0.6522126892641341,0.4965675946489133,0.8832451499118166,0.7318094536654655
0.1,21,covtype,79,7,0.653629936950223,0.4998245728426043,0.8809523809523809,0.736417918299708
